DELITOS COMETIDOS EN JUJUY - MUESTRA;;;;;;;;;;;
;;;;;;;;;;;
;dependencia;delito;;;victima;;inculpado;;delito;;
;ordinal;nominal;ordinal;ordinal;nominal;discreta;nominal;discreta;nominal;nominal;nominal
cod_lugar;comisaria;delito;fecha;hora;sexo_victima;edad_victima;sexo_inculpado;edad_inculpado;localidad;modus_operandis;detalle_de_lugar
1;35;ROBO;29/7/2018;06:30;MASCULINO;35;;;SAN SALVADOR DE JUJUY ;AGRESION FISICA;Via Publica
1;5;ROBO;6/8/2018;21:45;MASCULINO;29;;;SAN SALVADOR DE JUJUY ;Sustracción Bienes Rodados;Via Publica
1;13;ROBO;7/8/2018;00:00;MASCULINO;31;;;SAN SALVADOR DE JUJUY ;Sustracción Bienes Rodados;Via Publica
1;38;HURTO;7/8/2018;22:15;MASCULINO;28;;;SAN SALVADOR DE JUJUY ;Sustracción Bienes Rodados;Via Publica
1;55;HURTO;10/8/2018;11:30;MASCULINO;48;;;SAN SALVADOR DE JUJUY ;Sustracción Bienes Rodados;Via Publica
1;4;HURTO;10/8/2018;02:30;MASCULINO;35;;;;Sustracción Bienes Rodados;Comercio
1;40;HURTO;13/8/2018;11:00;MASCULINO;49;;;;Sustracción Bienes Rodados;Institución Privada
1;9;ABUSO DE AUTORIDAD;17/8/2018;17:30;MASCULINO;54;;;SAN SALVADOR DE JUJUY ;Agresión Física;Via Publica
1;14;HURTO;18/8/2018;15:00;MASCULINO;48;;;SAN SALVADOR DE JUJUY;Sustracción Bienes Rodados;Via Publica
1;9;ROBO;17/8/2018;22:00;MASCULINO;31;;;SAN SALVADOR DE JUJUY ;Sustracción Bienes Rodados;Via Publica
1;37;HURTO;21/8/2018;22:00;MASCULINO;52;;;SAN SALVADOR DE JUJUY ;Sustracción Bienes Rodados;Via Publica
1;13;ROBO;23/8/2018;19:00;MASCULINO;28;;;SAN SALVADOR DE JUJUY ;Sustracción Bienes Rodados;Via Publica
1;41;COMPLEMETARIAS;22/8/2018;02:00;MASCULINO;40;;;SAN SALVADOR DE JUJUY ;AGRESION CON ARMA BLANCA;Domicilio Particular
1;58;HURTO;25/8/2018;04:00;MASCULINO;48;;;SAN SALVADOR DE JUJUY ;Sustracción Bienes Rodados;Domicilio Particular
1;60;SECUESTRO;30/8/2018;16:15;MASCULINO;34;;;SAN SALVADOR DE JUJUY ;Agresión Física;Via Publica
1;31;ROBO;4/7/2018;08:00;FEMENINO;23;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Domicilio Particular
1;51;ROBO;27/7/2018;22:30;MASCULINO;42;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Via Publica
1;44;ABANDONO DE PERSONAS;20/7/2018;20:30;FEMENINO;53;;;SAN SALVADOR DE JUJUY ;Agresión Física;Domicilio Particular
1;28;ROBO;29/7/2018;15:30;FEMENINO;56;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Via Publica
1;25;DAÑO;29/7/2018;12:30;FEMENINO;33;;;SAN SALVADOR DE JUJUY ;Agresión Física;Domicilio Particular
1;15;ROBO;28/7/2018;00:00;MASCULINO;34;;;;SUSTRACCION DE BIENES RODADOS;Via Publica
1;29;ROBO;31/7/2018;06:30;FEMENINO;48;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Via Publica
2;51;HURTO;15/7/2018;00:00;MASCULINO;33;MASCULINO;21;SAN SALVADOR DE JUJUY ;Sustracción Bienes Rodados;Via Publica
2;3;hurto;1/7/2018;01:30;MASCULINO;27;MASCULINO;;SAN PEDRO DE JUJUY;SUSTRACCION DE BIENES RODADOS;Sin Determinar
2;43;HURTO;4/8/2018;21:30;MASCULINO;22;MASCULINO;;SAN PEDRO DE JUJUY;Sustracción Bienes Rodados;Via Publica
2;2;HURTO;28/6/2018;20:30;FEMENINO;34;;;;SUSTRACCION DE BIENES RODADOS;Via Publica
2;59;HURTO;28/6/2018;16:00;FEMENINO;41;;;;SUSTRACCION DE BIENES RODADOS;Via Publica
2;35;HURTO;30/6/2018;20:00;FEMENINO;53;;;SAN PEDRO DE JUJUY;SUSTRACCION DE BIENES RODADOS;Via Publica
2;53;HURTO;3/7/2018;00:30;FEMENINO;38;;;SAN PEDRO DE JUJUY;SUSTRACCION DE BIENES RODADOS;Via Publica
2;52;HURTO;4/7/2018;23:40;FEMENINO;42;;;SAN PEDRO DE JUJUY;SUSTRACCION DE BIENES RODADOS;Via Publica
2;45;HURTO;8/7/2018;21:30;FEMENINO;37;;;SAN PEDRO DE JUJUY;SUSTRACCION DE BIENES RODADOS;Via Publica
2;38;ROBO;10/7/2018;23:10;FEMENINO;20;;;SAN PEDRO DE JUJUY;SUSTRACCION DE BIENES RODADOS;Via Publica
2;24;HURTO;16/7/2018;17:00;FEMENINO;27;;;SAN PEDRO DE JUJUY;SUSTRACCION DE BIENES RODADOS;Via Publica
2;55;HURTO;17/7/2018;19:00;FEMENINO;30;;;SAN PEDRO DE JUJUY;SUSTRACCION DE BIENES RODADOS;Via Publica
2;29;HURTO;18/7/2018;04:00;FEMENINO;22;;;;SUSTRACCION DE BIENES RODADOS;Via Publica
2;12;HURTO;17/7/2018;21:45;FEMENINO;30;;;SAN PEDRO DE JUJUY;AGRESION CON SUSTANCIA;Via Publica
2;44;HURTO;19/7/2018;15:15;FEMENINO;24;;;SAN PEDRO DE JUJUY;SUSTRACCION DE BIENES RODADOS;Via Publica
2;55;HURTO;20/7/2018;22:00;FEMENINO;32;;;SAN PEDRO DE JUJUY;SUSTRACCION DE BIENES RODADOS;Via Publica
2;27;HURTO;5/8/2018;05:30;FEMENINO;31;;;SAN PEDRO DE JUJUY;Sustracción Bienes Rodados;Via Publica
2;34;HURTO;10/8/2018;15:00;FEMENINO;38;;;SAN PEDRO DE JUJUY;Sustracción Bienes Rodados;Via Publica
2;36;HURTO;1/6/2018;00:00;FEMENINO;61;;;;Sustracción Bienes Rodados;Sin Determinar
2;8;HURTO;18/8/2018;14:35;FEMENINO;24;;;SAN PEDRO DE JUJUY;Sustracción Bienes Rodados;Via Publica
2;59;HURTO;30/6/2018;15:00;MASCULINO;39;;;SAN PEDRO DE JUJUY;SUSTRACCION DE BIENES RODADOS;Via Publica
2;63;HURTO;27/6/2018;21:00;MASCULINO;61;;;SAN PEDRO DE JUJUY;SUSTRACCION DE BIENES RODADOS;Via Publica
2;9;ROBO;26/6/2018;07:00;MASCULINO;74;;;;SUSTRACCION DE BIENES RODADOS;Sin Determinar
2;8;ROBO;9/7/2018;15:10;MASCULINO;19;;;;SUSTRACCION DE BIENES RODADOS;Via Publica
2;26;HURTO;10/7/2018;00:00;MASCULINO;31;;;;SUSTRACCION DE BIENES RODADOS;Via Publica
2;3;HURTO;11/7/2018;07:00;MASCULINO;43;;;SAN PEDRO DE JUJUY;SUSTRACCION DE BIENES RODADOS;Via Publica
2;32;HURTO;14/7/2018;01:40;MASCULINO;20;;;SAN PEDRO DE JUJUY;SUSTRACCION DE BIENES RODADOS;Via Publica
2;14;ROBOS;14/7/2018;05:40;MASCULINO;45;;;SAN PEDRO DE JUJUY;AGRESION CON ARMA BLANCA;Via Publica
2;37;ROBO;23/7/2018;04:00;MASCULINO;33;;;SAN PEDRO DE JUJUY;AGRESION FISICA;Via Publica
2;10;hurto;20/7/2018;20:30;MASCULINO;21;;;SAN PEDRO DE JUJUY;Sustracción Bienes Rodados;Via Publica
2;14;HURTO;15/8/2018;01:00;MASCULINO;37;;;SAN PEDRO DE JUJUY;Sustracción Bienes Rodados;Via Publica
2;37;HURTO;15/8/2018;19:30;MASCULINO;23;;;SAN PEDRO DE JUJUY;Sustracción Bienes Rodados;Domicilio Particular
2;62;DELITO INFORMATICO;20/8/2018;09:40;MASCULINO;71;;;SAN PEDRO DE JUJUY;Agresión Física;Via Publica
2;49;HURTO;20/8/2018;13:00;MASCULINO;41;;;SAN PEDRO DE JUJUY;Sustracción Bienes Rodados;Via Publica
2;43;HURTO;26/8/2018;07:00;MASCULINO;34;;;SAN PEDRO DE JUJUY;Sustracción Bienes Rodados;Via Publica
2;31;HURTO;26/8/2018;06:00;MASCULINO;60;;;SAN PEDRO DE JUJUY;Sustracción Bienes Rodados;Via Publica
2;64;HURTO;26/7/2018;21:00;FEMENINO;25;;;;SUSTRACCION DE BIENES RODADOS;Via Publica
