DELITOS COMETIDOS EN JUJUY - MUESTRA;;;;;;;;;;;
;;;;;;;;;;;
;dependencia;delito;;;victima;;inculpado;;delito;;
;ordinal;nominal;ordinal;ordinal;nominal;discreta;nominal;discreta;nominal;nominal;nominal
cod_lugar;comisaria;delito;fecha;hora;sexo_victima;edad_victima;sexo_inculpado;edad_inculpado;localidad;modus_operandis;detalle_de_lugar
7;30;HURTO;1/7/2018;09:00;MASCULINO;35;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Via Publica
7;7;HURTO;29/6/2018;23:15;MASCULINO;32;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Via Publica
7;60;HURTO;15/7/2018;00:00;MASCULINO;39;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Domicilio Particular
7;44;ROBO;14/7/2018;03:00;MASCULINO;33;;;SAN SALVADOR DE JUJUY;SUSTRACCION DE BIENES RODADOS;Domicilio Particular
7;38;ROBO;11/8/2018;20:00;MASCULINO;34;;;;Sustracción Bienes Rodados;Feria
7;15;HURTO;13/8/2018;23:00;MASCULINO;18;;;;Sustracción Bienes Rodados;Via Publica
7;5;ABUSO DE AUTORIDAD;13/8/2018;00:00;MASCULINO;59;;;;Agresión Física;Via Publica
7;45;hurto;20/8/2018;01:00;MASCULINO;21;;;SAN SALVADOR DE JUJUY ;Sustracción Bienes Rodados;Via Publica
7;3;ROBO;14/7/2018;01:00;MASCULINO;22;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Via Publica
7;14;HURTO;24/6/2018;00:00;MASCULINO;28;;;;SUSTRACCION DE BIENES RODADOS;Via Publica
7;31;ROBO;28/7/2018;13:50;MASCULINO;18;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Via Publica
7;18;DELITO INFORMATICO;6/7/2018;15:00;MASCULINO;33;;;;Agresión Física;Via Publica
7;14;COMPLEMETARIAS;11/8/2018;23:15;MASCULINO;60;;;SAN SALVADOR DE JUJUY ;Sustracción Bienes Rodados;Via Publica
8;6;ROBO;25/7/2018;20:30;MASCULINO;85;FEMENINO;;PALPALA;AGRESION CON SUSTANCIA;Domicilio Particular
8;46;ROBO;23/7/2018;17:30;MASCULINO;48;MASCULINO;;PALPALA;AGRESION CON ARMA BLANCA;Via Publica
8;63;ROBO;4/7/2018;21:00;MASCULINO;26;MASCULINO;;PALPALA;SUSTRACCION DE BIENES RODADOS;Via Publica
8;37;ROBO;24/8/2018;08:00;FEMENINO;35;MASCULINO;;PALPALA;Agresión con Arma de Fuego;Via Publica
8;25;ROBO;21/7/2018;23:45;MASCULINO;43;MASCULINO;;PALPALA;SUSTRACCION DE BIENES RODADOS;Via Publica
8;49;HURTO;2/7/2018;17:30;FEMENINO;34;;;PALPALA;SUSTRACCION DE BIENES RODADOS;Via Publica
8;62;HURTO;7/8/2018;19:30;FEMENINO;37;;;PALPALA;Sustracción Bienes Rodados;Via Publica
8;45;HURTO;2/7/2018;00:00;FEMENINO;48;;;;Sustracción Bienes Rodados;Via Publica
8;20;HURTO;3/7/2018;18:00;MASCULINO;40;;;PALPALA;SUSTRACCION DE BIENES RODADOS;Via Publica
8;7;HURTO;19/7/2018;08:30;MASCULINO;31;;;;SUSTRACCION DE BIENES RODADOS;Institución Pública
8;37;HURTO;22/7/2018;01:30;MASCULINO;36;;;PALPALA;SUSTRACCION DE BIENES RODADOS;Via Publica
8;11;HURTO;27/7/2018;19:40;MASCULINO;38;;;PALPALA;SUSTRACCION DE BIENES RODADOS;Via Publica
8;10;ROBO;1/8/2018;06:00;MASCULINO;33;;;SAN SALVADOR DE JUJUY ;AGRESION CON SUSTANCIAS;Via Publica
8;46;hurto;3/8/2018;18:30;MASCULINO;65;;;;Sustracción Bienes Rodados;Via Publica
8;40;HURTO;20/8/2018;00:00;MASCULINO;30;;;PALPALA;Sustracción Bienes Rodados;Domicilio Particular
8;24;COMPLEMENTARIAS;26/7/2018;23:20;MASCULINO;22;;;SAN SALVADOR DE JUJUY ;Sustracción Bienes Rodados;Via Publica
8;26;ROBO;8/8/2018;23:40;MASCULINO;16;;;;AGRESION CON ARMA BLANCA;Via Publica
;14;ABANDONO DE PERSONA;16/8/2018;06:00;FEMENINO;43;MASCULINO;34;;Agresión Física;Domicilio Particular
;20;HURTO;5/8/2018;14:00;MASCULINO;60;;;EL CARMEN;Sustracción Bienes Rodados;Via Publica
;54;HURTO;6/8/2018;00:00;MASCULINO;52;;;;Sustracción Bienes Rodados;Via Publica
